id,title,original_title,year,rating,rating_count,director,screenwriter,actors,genre,region,language,duration,release_date,aka,imdb,synopsis,poster_url,ranking,tags,url
1303021,小鞋子, بچه های آسمان,1997,9.2,467278,马基德·马基迪 Majid Majidi   主演: 默罕默德·阿米尔·纳吉 Mohamma... 1997,,,剧情 儿童 家庭,伊朗,,,,,,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,78,,https://movie.douban.com/subject/1303021/
11525673,布达佩斯大饭店, The Grand Budapest Hotel,2014,8.9,1087761,韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes,,,剧情 喜剧 冒险,美国 德国 英国,,,,,,小清新的故事里注入了大历史的情怀。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183539003.jpg,79,,https://movie.douban.com/subject/11525673/
1292343,蝴蝶效应, The Butterfly Effect,2004,8.9,1070412,埃里克·布雷斯 Eric Bress,,,剧情 悬疑 科幻 惊悚,美国 加拿大,,,,,,人的命运被自己瞬间的抉择改变。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,80,,https://movie.douban.com/subject/1292343/
1292224,飞越疯人院, One Flew Over the Cuckoo's Nest,1975,9.1,605382,米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols... 1975,,,剧情,美国,,,,,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,81,,https://movie.douban.com/subject/1292224/
36445098,还有明天, C'è ancora domani,2023,9.3,374530,宝拉·柯特莱西 Paola Cortellesi   主演: 宝拉·柯特莱西 Paola Corte... 2023,,,剧情 喜剧 历史,意大利,,,,,,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2918279456.jpg,82,,https://movie.douban.com/subject/36445098/
2334904,禁闭岛, Shutter Island,2010,8.9,1116356,Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio,,,剧情 悬疑 惊悚,美国,,,,,,昔日翩翩少年，今日大腹便便。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg,83,,https://movie.douban.com/subject/2334904/
1292656,心灵捕手, Good Will Hunting,1997,9.0,816990,格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon,,,剧情,美国,,,,,,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,84,,https://movie.douban.com/subject/1292656/
1780330,致命魔术, The Prestige,2006,8.9,966172,克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman... 2006,,,剧情 悬疑 惊悚,英国 美国,,,,,,孪生蝙蝠侠大战克隆金刚狼。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,85,,https://movie.douban.com/subject/1780330/
1291832,低俗小说, Pulp Fiction,1994,8.9,961984,昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra... 1994,,,剧情 喜剧 犯罪,美国,,,,,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,86,,https://movie.douban.com/subject/1291832/
1296996,哈利·波特与密室, Harry Potter and the Chamber of Secrets,2002,8.9,919441,Chris Columbus   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe,,,奇幻 冒险,英国 美国,,,,,,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2913781951.jpg,87,,https://movie.douban.com/subject/1296996/
5322596,超脱, Detachment,2011,9.0,725344,托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody,,,剧情,美国,,,,,,穷尽一生，我们要学会的，不过是彼此拥抱。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,88,,https://movie.douban.com/subject/5322596/
1292434,一一,,2000,9.1,512938,杨德昌 Edward Yang   主演: 吴念真,,,剧情 爱情 家庭,中国台湾 日本,,,,,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2924629258.jpg,89,,https://movie.douban.com/subject/1292434/
